"TOA5","PDIU","CR6","18201","CR6.Std.12.02","CPU:231023.5 CR6 + Mux Canary + 5 VW OK+ 485.CR6","22776","BH_Data"
"TIMESTAMP","RECORD","Batt_Volt","Temp","CR1_Digit","CR2_Digit","CR3_Digit","Tilt_A_Or(1)","Tilt_B_Or(1)","Tilt_A_Or(2)","Tilt_B_Or(2)","Tilt_A_Or(3)","Tilt_B_Or(3)","PZ1_Digit","PZ2_Digit","CR1","CR2","CR3","Tilt_A(1)","Tilt_B(1)","Tilt_A(2)","Tilt_B(2)","Tilt_A(3)","Tilt_B(3)","PZ1","PZ2","CR1_Temp","CR2_Temp","CR3_Temp","Temp_Tilt(1)","Temp_Tilt(2)","Temp_Tilt(3)","PZ1_Temp","PZ2_Temp"
"TS","RN","Volts","Celsius","Digit","Digit","Digit","","","","","","","Digit","Digit","mm","mm","mm","","","","","","","mH20","mH20","Degree C","Degree C","Degree C","","","","Degree C","Degree C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-10-23 19:33:00",0,12.7298,27.74197,3104.748,3044.587,3017.281,0.06901,-0.084783,0.054798,0.047307,-0.109918,-0.062056,9997.271,9545.407,-4.436233,-3.728369,-4.452397,0.06901,-0.084783,0.054798,0.047307,-0.109918,-0.062056,3.934073,2.420787,26.17966,26.13889,26.19528,26.11,26.36,26.23,26.44809,26.50308
"2023-10-23 19:34:00",1,12.711,27.83047,3104.999,3044.765,3017.284,0.068968,-0.084837,0.054787,0.047337,-0.1099,-0.062047,9997.279,9545.409,-4.424844,-3.720216,-4.452276,0.068968,-0.084837,0.054787,0.047337,-0.1099,-0.062047,3.933995,2.420768,26.17599,26.13354,26.1897,26.06,26.34,26.22,26.44803,26.50269
"2023-10-23 19:35:00",2,12.71737,27.90283,3104.859,3044.819,3017.291,0.068989,-0.084794,0.054822,0.047363,-0.109893,-0.062064,9997.262,9545.413,-4.431213,-3.717751,-4.451955,0.068989,-0.084794,0.054822,0.047363,-0.109893,-0.062064,3.93417,2.42073,26.1655,26.12747,26.18539,26.06,26.36,26.2,26.44766,26.50241
"2023-10-23 19:36:00",3,12.73653,27.96088,3104.834,3044.833,3017.305,0.069,-0.084794,0.054804,0.047351,-0.109885,-0.062047,9997.244,9545.39,-4.432319,-3.717149,-4.451325,0.069,-0.084794,0.054804,0.047351,-0.109885,-0.062047,3.934345,2.420958,26.15588,26.12122,26.17929,26.09,26.36,26.23,26.44727,26.50241
"2023-10-23 19:37:00",4,12.73427,28.00854,3104.831,3044.92,3017.314,0.068995,-0.084802,0.054788,0.047357,-0.109891,-0.062049,9997.223,9545.396,-4.432452,-3.713134,-4.450905,0.068995,-0.084802,0.054788,0.047357,-0.109891,-0.062049,3.934559,2.420892,26.15372,26.11569,26.17426,26.05,26.32,26.19,26.44586,26.50208
"2023-10-23 19:38:00",5,12.72454,28.05051,3104.824,3044.926,3017.319,0.069005,-0.084809,0.05478,0.047365,-0.109895,-0.062037,9997.211,9545.363,-4.432772,-3.712888,-4.450706,0.069005,-0.084809,0.05478,0.047365,-0.109895,-0.062037,3.934676,2.421215,26.14465,26.11145,26.16855,26.02,26.3,26.16,26.44537,26.50159
"2023-10-23 19:38:30",6,12.73043,28.06906,3104.82,3044.904,3017.315,0.069008,-0.084817,0.05478,0.047355,-0.109902,-0.06205,9997.206,9545.362,-4.432961,-3.713881,-4.450882,0.069008,-0.084817,0.05478,0.047355,-0.109902,-0.06205,3.934725,2.421224,26.13895,26.10883,26.16586,26.04,26.3,26.13,26.44492,26.50122
"2023-10-23 19:39:30",7,12.71442,28.1026,3104.806,3044.793,3017.304,0.068991,-0.084816,0.05478,0.047371,-0.109886,-0.062073,9997.165,9545.333,-4.433579,-3.718945,-4.451391,0.068991,-0.084816,0.05478,0.047371,-0.109886,-0.062073,3.935133,2.421509,26.14496,26.10321,26.15829,26.03,26.31,26.17,26.44348,26.5
"2023-10-23 19:40:30",8,12.73072,28.13272,3104.792,3045.5,3017.313,0.068977,-0.084808,0.054782,0.047395,-0.109857,-0.062051,9997.117,9545.286,-4.434254,-3.686656,-4.450949,0.068977,-0.084808,0.054782,0.047395,-0.109857,-0.062051,3.935609,2.421965,26.14264,26.09863,26.15326,26,26.28,26.16,26.44125,26.49826
"2023-10-23 19:41:30",9,12.72724,28.15823,3104.789,3045.252,3017.316,0.068989,-0.084799,0.054795,0.047375,-0.109881,-0.062063,9997.114,9545.298,-4.434364,-3.697988,-4.45085,0.068989,-0.084799,0.054795,0.047375,-0.109881,-0.062063,3.935638,2.421851,26.13782,26.09277,26.14713,25.98,26.23,26.14,26.43872,26.49619
"2023-10-23 19:42:30",10,12.69495,28.18073,3104.79,3045.314,3017.317,0.068993,-0.084814,0.054796,0.047399,-0.10986,-0.06205,9997.088,9545.271,-4.434309,-3.695166,-4.450772,0.068993,-0.084814,0.054796,0.047399,-0.10986,-0.06205,3.935901,2.422107,26.13721,26.08762,26.14063,25.97,26.22,26.09,26.43628,26.49368
"2023-10-23 19:43:00",11,12.71206,28.19064,3104.787,3045.284,3017.323,0.068995,-0.084816,0.054809,0.047414,-0.109869,-0.062069,9997.072,9545.244,-4.434442,-3.696504,-4.450507,0.068995,-0.084816,0.054809,0.047414,-0.109869,-0.062069,3.936057,2.422373,26.13547,26.08511,26.13803,26.01,26.24,26.09,26.43491,26.49231
